Td 		ID 		Tj 		Df 		Dd 		Db

3		6		2		1		0		1
4		2002		3		0		1		1
5		2003		3		0		2		2
5		2007		3		0		2		2
5		2001		3		0		2		2
5		14		4		0		1		1
6		2014		5		0		1		1
6		2004		3		0		3		3
6		2008		5		0		1		1
6		2010		5		0		1		1
6		2013		5		0		1		1
6		16		5		0		1		1
8		2006		3		1		4		5
8		2012		5		0		3		3
10		2009		5		0		5		5
11		2005		3		1		7		8
11		2016		10		0		1		1
11		2015		10		0		1		1
11		20		5		0		6		6
12		2020		10		0		2		2
12		2017		10		0		2		2
12		2019		10		0		2		2
13		2018		10		0		3		3
13		7		2		1		10		11
14		2011		5		1		8		9
14		2021		10		1		3		4
14		2023		13		0		1		1
15		29		10		0		5		5
15		13		4		0		11		11
16		2028		13		1		2		3
16		19		5		0		11		11
17		2030		15		0		2		2
17		2027		13		0		4		4
18		2025		13		0		5		5
18		31		10		0		8		8
18		35		10		1		7		8
19		2024		13		0		6		6
19		2029		15		0		4		4
19		2034		15		0		4		4
19		2033		15		0		4		4
19		2026		13		0		6		6
20		1		2		16		2		18
20		25		8		8		4		12
21		2031		15		1		5		6
21		2042		18		0		3		3
21		34		10		0		11		11
22		2041		18		1		3		4
22		2036		18		0		4		4
22		2039		18		1		3		4
22		2022		13		0		9		9
22		2048		21		0		1		1
23		2044		21		0		2		2
23		2047		21		0		2		2
23		2038		18		0		5		5
23		2040		18		0		5		5
23		2046		21		1		1		2
23		2035		15		1		7		8
23		2032		15		1		7		8
24		2049		21		1		2		3
24		2043		21		1		2		3
25		2037		18		0		7		7
26		2045		21		0		5		5
28		2055		27		0		1		1
29		2050		27		0		2		2
29		2		2		14		13		27
30		2053		27		0		3		3
30		2059		28		0		2		2
30		2068		29		0		1		1
31		2057		28		0		3		3
31		33		10		0		21		21
31		22		8		1		22		23
31		46		23		4		4		8
32		76		31		0		1		1
32		60		25		2		5		7
33		2066		29		0		4		4
33		72		31		1		1		2
34		2060		28		0		6		6
34		2079		33		0		1		1
34		2084		33		0		1		1
34		90		34		0		0		0
35		36		21		0		14		14
37		2085		35		0		2		2
37		2081		33		0		4		4
37		2090		35		0		2		2
37		2087		35		0		2		2
37		2083		33		0		4		4
37		87		34		1		2		3
38		2080		33		0		5		5
38		2076		32		0		6		6
38		2091		35		0		3		3
39		2074		32		1		6		7
39		2089		35		1		3		4
40		2070		29		1		10		11
40		2069		29		1		10		11
40		2086		35		2		3		5
41		2088		35		3		3		6
41		2062		28		0		13		13
41		2078		33		7		1		8
41		2082		33		5		3		8
42		2077		32		1		9		10
42		2065		29		0		13		13
42		2064		29		2		11		13
42		2072		32		0		10		10
42		45		23		4		15		19
43		2067		29		0		14		14
43		2098		42		0		1		1
43		88		34		0		9		9
44		2061		28		15		1		16
44		2063		28		0		16		16
44		2092		42		0		2		2
44		2097		42		0		2		2
45		2096		42		0		3		3
45		2058		28		16		1		17
46		2054		27		0		19		19
46		56		24		4		18		22
47		2071		32		1		14		15
47		2056		27		0		20		20
47		112		41		0		6		6
48		2075		32		1		15		16
48		43		23		12		13		25
49		2051		27		18		4		22
49		2101		47		0		2		2
49		2052		27		18		4		22
50		2073		32		1		17		18
50		2094		42		1		7		8
